日期,众智对冲一号
2017-09-05,1.0
2017-09-06,1.0
2017-09-07,1.0
2017-09-08,1.0008
2017-09-11,1.001
2017-09-12,0.9979
2017-09-13,1.0001
2017-09-14,0.9917
2017-09-15,0.9942
2017-09-18,0.9912
2017-09-19,0.9857
2017-09-20,0.9825
2017-09-21,0.9793
2017-09-22,0.9769
2017-09-25,0.9839
2017-09-26,0.977405
2017-09-27,0.977172
2017-09-28,0.973913
2017-09-29,0.97744
2017-10-09,0.975856
2017-10-10,0.976479
2017-10-11,0.977959
2017-10-12,0.981145
2017-10-13,0.982833
2017-10-16,0.980299
2017-10-17,0.985026
2017-10-18,0.987654
2017-10-19,0.98737
2017-10-20,0.985395
2017-10-23,0.989657
2017-10-24,0.993477
2017-10-25,0.997987
2017-10-26,0.995968
2017-10-27,0.996186
2017-10-30,0.998263
2017-10-31,1.003222
2017-11-01,1.002537
2017-11-02,1.001677
2017-11-03,1.005614
2017-11-06,1.006655
2017-11-07,1.005351
2017-11-08,1.012779
2017-11-09,1.015214
2017-11-10,1.014403
2017-11-13,1.0305
2017-11-17,1.0491
2017-11-24,1.0519
2017-11-30,1.0524
2017-12-01,1.0596
2017-12-08,1.0705
2017-12-15,1.0832
2017-12-22,1.0874
2017-12-29,1.0726
2018-01-05,1.0648
2018-01-12,1.0703
2018-01-19,1.0825
2018-01-26,1.0684
2018-01-31,1.0908
2018-02-02,1.099
2018-02-09,1.0826
2018-02-14,1.0855
2018-02-23,1.0922
2018-02-28,1.0974
2018-03-02,1.0971
2018-03-09,1.1173
2018-03-16,1.0985
2018-03-23,1.0947
2018-03-30,1.0942
2018-04-04,1.0583
2018-04-13,1.0556
2018-04-20,1.0562
2018-04-27,1.0332
2018-05-04,1.0618
2018-05-11,1.0467
2018-05-18,1.026
2018-05-25,1.0194
2018-05-31,1.0353
2018-06-01,1.0392
2018-06-08,1.039
2018-06-15,1.081
2018-06-22,1.1164
2018-06-29,1.1346
2018-07-06,1.1351
2018-07-13,1.1462
2018-07-20,1.1553
2018-07-27,1.1516
2018-07-31,1.153
2018-08-03,1.1542
2018-08-10,1.1539
2018-08-17,1.153669
2018-08-24,1.153438
2018-08-31,1.151822
2018-09-07,1.16117
2018-09-14,1.171094
2018-09-21,1.185635
2018-09-28,1.193598
2018-10-12,1.20733
2018-10-19,1.198214
2018-10-26,1.205946
2018-10-31,1.213331
2018-11-02,1.221756
2018-11-09,1.222563
2018-11-16,1.241951
2018-11-23,1.240912
2018-11-30,1.254414
2018-12-07,1.262377
2018-12-14,1.256145
2018-12-21,1.256607
2018-12-28,1.297228
2019-01-04,1.333464
2019-01-11,1.34662
2019-01-18,1.348467
2019-01-25,1.362546
2019-01-31,1.367277
2019-02-01,1.36393
2019-02-15,1.354929
2019-02-22,1.366931
2019-02-28,1.366238
2019-03-01,1.345466
2019-03-08,1.343966
2019-03-15,1.338427
2019-03-22,1.351813
2019-03-29,1.369123
2019-04-04,1.374201
2019-04-12,1.370393
2019-04-19,1.366931
2019-04-26,1.364046
2019-04-30,1.369585
2019-05-10,1.392896
2019-05-17,1.397281
2019-05-24,1.404782
2019-05-31,1.407783
2019-06-06,1.419438
2019-06-14,1.406513
2019-06-21,1.387126
2019-06-28,1.388165
2019-07-05,1.364161
2019-07-12,1.370739
2019-07-19,1.373624
2019-07-26,1.373162
2019-07-31,1.373278
2019-08-02,1.373278
2019-08-09,1.362292
2019-08-16,1.363253
2019-08-23,1.363802
2019-08-30,1.349383
2019-09-06,1.347048
2019-09-12,1.334414
2019-09-20,1.328097
2019-09-27,1.300082
2019-09-30,1.299945
2019-10-11,1.312579
2019-10-18,1.321505
2019-10-25,1.385775
2019-10-31,1.392641
2019-11-01,1.398272
2019-11-08,1.413378
2019-11-15,1.397036
2019-11-22,1.420793
2019-11-29,1.424501
2019-12-06,1.439333
2019-12-13,1.476823
2019-12-20,1.505113
2019-12-27,1.556611
2019-12-31,1.58284
2020-01-03,1.588745
2020-01-10,1.616486
2020-01-17,1.574051
2020-01-23,1.56691
2020-02-07,1.537934
2020-02-14,1.53354
2020-02-21,1.529832
2020-02-28,1.530244
2020-03-06,1.529969
2020-03-13,1.518296
2020-03-20,1.513215
2020-03-27,1.519944
2020-03-31,1.521455
2020-04-03,1.535737
2020-04-10,1.53711
2020-04-17,1.543152
2020-04-24,1.54535
2020-04-30,1.547684
2020-05-08,1.554413
2020-05-15,1.55922
2020-05-22,1.556199
2020-05-29,1.542466
2020-06-05,1.540543
2020-06-12,1.528733
2020-06-19,1.518433
2020-06-24,1.521455
2020-06-30,1.504975
2020-07-03,1.5253
2020-07-10,1.529832
2020-07-17,1.513352
2020-07-24,1.53093
2020-07-31,1.544114
2020-08-07,1.554963
2020-08-14,1.544663
2020-08-21,1.543838
2020-08-28,1.576745
2020-08-31,1.59204
2020-09-04,1.585088
2020-09-11,1.607489
2020-09-18,1.695241
2020-09-25,1.70003
2020-09-30,1.706055
2020-10-09,1.730465
2020-10-16,1.745451
2020-10-23,1.77156
2020-10-30,1.764453
2020-11-06,1.82764
2020-11-13,1.82177
2020-11-20,1.890673
2020-11-27,1.891137
2020-11-30,1.902106
2020-12-04,1.85375
2020-12-11,1.865027
2020-12-18,1.894844
2020-12-25,1.963748
2020-12-31,1.996809
2021-01-08,2.01921
2021-01-15,2.063395
2021-01-22,2.023691
2021-01-29,1.990629
2021-02-05,1.998354
2021-02-10,1.995573
2021-02-19,1.990011
2021-02-26,1.995573
2021-03-05,1.964366
2021-03-12,1.910351
2021-03-19,1.917699
2021-03-26,1.95106
2021-03-31,1.959996
2021-04-02,1.974096
2021-04-09,1.979457
2021-04-16,1.933784
2021-04-23,1.9644
