U/M/S,Strike,Underlying,Maturity,Type,Delta,CashDelta,Vega,Gamma,CashGamma,Theta,ActVol,Rate,SSRate,Multi,NetPos,Product
159919.SZ,,159919.SZ,,ETF,1821436,8328982,0,0,0,0,,,,1,1821436,159919.SZ
90000361.SZ,4.26,159919.SZ,2020/10/28,Call,-473602,-2165667,-1714,-421287,-88091,1484,0.314,0.025,0.0561,10330,-56,159919.SZ
90000362.SZ,4.356,159919.SZ,2020/10/28,Call,-817880,-3739967,-4050,-1022101,-213722,3583,0.306,0.025,0.0561,10330,-107,159919.SZ
90000363.SZ,4.453,159919.SZ,2020/10/28,Call,-1132449,-5178414,-7477,-1924842,-402486,6703,0.3,0.025,0.0561,10330,-171,159919.SZ
90000364.SZ,4.55,159919.SZ,2020/10/28,Call,-4495573,-20557159,-38331,-9977182,-2086239,34754,0.296,0.025,0.0561,10330,-822,159919.SZ
90000365.SZ,4.647,159919.SZ,2020/10/28,Call,1049084,4797207,11169,2911201,608735,-10275,0.296,0.025,0.0561,10330,244,159919.SZ
90000366.SZ,4.744,159919.SZ,2020/10/28,Call,2688358,12293204,34578,8940808,1869532,-32442,0.298,0.025,0.0561,10330,831,159919.SZ
90000367.SZ,4.84,159919.SZ,2020/10/28,Call,770171,3521806,11593,2950499,616952,-11150,0.303,0.025,0.0561,10330,326,159919.SZ
90000368.SZ,5.082,159919.SZ,2020/10/28,Call,1194115,5460397,24084,5760042,1204430,-25071,0.323,0.025,0.0561,10330,1196,159919.SZ
90000369.SZ,5.325,159919.SZ,2020/10/28,Call,-212006,-969451,-5123,-1116643,-233491,5944,0.354,0.025,0.0561,10330,-469,159919.SZ
90000370.SZ,4.26,159919.SZ,2020/10/28,Put,-1320758,-6039506,22010,5409021,1131032,-23583,0.314,0.025,0.0561,10330,719,159919.SZ
90000371.SZ,4.356,159919.SZ,2020/10/28,Put,-1317237,-6023405,18809,4747515,992710,-19721,0.306,0.025,0.0561,10330,497,159919.SZ
90000372.SZ,4.453,159919.SZ,2020/10/28,Put,506682,2316933,-6034,-1553381,-324813,6249,0.3,0.025,0.0561,10330,-138,159919.SZ
90000373.SZ,4.55,159919.SZ,2020/10/28,Put,-477680,-2184315,4617,1201631,251262,-4778,0.296,0.025,0.0561,10330,99,159919.SZ
90000374.SZ,4.647,159919.SZ,2020/10/28,Put,185832,849766,-1419,-369866,-77339,1488,0.296,0.025,0.0561,10330,-31,159919.SZ
90000375.SZ,4.744,159919.SZ,2020/10/28,Put,-35295,-161396,208,53795,11249,-224,0.298,0.025,0.0561,10330,5,159919.SZ
90000376.SZ,4.84,159919.SZ,2020/10/28,Put,111043,507772,-498,-126709,-26495,558,0.303,0.025,0.0561,10330,-14,159919.SZ
90000377.SZ,5.082,159919.SZ,2020/10/28,Put,353236,1615264,-765,-183011,-38268,1003,0.323,0.025,0.0561,10330,-38,159919.SZ
90000378.SZ,5.325,159919.SZ,2020/10/28,Put,1013734,4635560,-1125,-245233,-51278,1838,0.354,0.025,0.0561,10330,-103,159919.SZ
90000379.SZ,5.567,159919.SZ,2020/10/28,Call,-165706,-757732,-4498,-888478,-185782,5860,0.39,0.025,0.0561,10330,-702,159919.SZ
90000380.SZ,5.567,159919.SZ,2020/10/28,Put,1669640,7634855,-1064,-210096,-43931,2202,0.39,0.025,0.0561,10330,-166,159919.SZ
90000381.SZ,5.809,159919.SZ,2020/10/28,Call,87451,399892,2581,465252,97285,-3763,0.428,0.025,0.0561,10330,635,159919.SZ
90000382.SZ,5.809,159919.SZ,2020/10/28,Put,995327,4551389,-398,-71803,-15014,1038,0.428,0.025,0.0561,10330,-98,159919.SZ
90000383.SZ,4.163,159919.SZ,2020/10/28,Call,-1115378,-5100353,-2872,-683063,-142829,2384,0.324,0.025,0.0561,10330,-123,159919.SZ
90000384.SZ,4.163,159919.SZ,2020/10/28,Put,757670,3464639,-14431,-3431974,-717629,15931,0.324,0.025,0.0561,10330,-618,159919.SZ
90000403.SZ,4.2,159919.SZ,2020/10/28,Call,-977624,-4470437,-2874,-692495,-144801,2433,0.32,0.025,0.0561,10000,-114,159919.SZ
90000404.SZ,4.3,159919.SZ,2020/10/28,Call,-1419052,-6488978,-5872,-1460109,-305310,5140,0.31,0.025,0.0561,10000,-180,159919.SZ
90000405.SZ,4.4,159919.SZ,2020/10/28,Call,-1045853,-4782430,-5923,-1509795,-315700,5276,0.302,0.025,0.0561,10000,-150,159919.SZ
90000406.SZ,4.5,159919.SZ,2020/10/28,Call,-776105,-3548941,-5824,-1508935,-315520,5250,0.298,0.025,0.0561,10000,-132,159919.SZ
90000407.SZ,4.6,159919.SZ,2020/10/28,Call,-4337751,-19835478,-41647,-10862219,-2271301,38018,0.296,0.025,0.0561,10000,-922,159919.SZ
90000408.SZ,4.7,159919.SZ,2020/10/28,Call,-3795280,-17354887,-44980,-11684971,-2443339,41801,0.297,0.025,0.0561,10000,-1060,159919.SZ
90000409.SZ,4.8,159919.SZ,2020/10/28,Call,-18311,-83733,-259,-66395,-13883,246,0.301,0.025,0.0561,10000,-7,159919.SZ
90000410.SZ,4.9,159919.SZ,2020/10/28,Call,-553680,-2531841,-9074,-2279407,-476626,8883,0.307,0.025,0.0561,10000,-298,159919.SZ
90000411.SZ,5,159919.SZ,2020/10/28,Call,1947781,8906727,36083,8837679,1847967,-36485,0.315,0.025,0.0561,10000,1499,159919.SZ
90000412.SZ,4.2,159919.SZ,2020/10/28,Put,844885,3863452,-15329,-3693306,-772274,16719,0.32,0.025,0.0561,10000,-608,159919.SZ
90000413.SZ,4.3,159919.SZ,2020/10/28,Put,-2081644,-9518849,32620,8111715,1696168,-34604,0.31,0.025,0.0561,10000,1000,159919.SZ
90000414.SZ,4.4,159919.SZ,2020/10/28,Put,-4842534,-22143724,63892,16285660,3405347,-66537,0.302,0.025,0.0561,10000,1618,159919.SZ
90000415.SZ,4.5,159919.SZ,2020/10/28,Put,2149067,9827158,-23210,-6012878,-1257299,23997,0.298,0.025,0.0561,10000,-526,159919.SZ
90000416.SZ,4.6,159919.SZ,2020/10/28,Put,-1167841,-5340252,10028,2615415,546886,-10429,0.296,0.025,0.0561,10000,222,159919.SZ
90000417.SZ,4.7,159919.SZ,2020/10/28,Put,210699,963474,-1400,-363777,-76066,1488,0.297,0.025,0.0561,10000,-33,159919.SZ
90000418.SZ,4.8,159919.SZ,2020/10/28,Put,301324,1377881,-1517,-388883,-81316,1671,0.301,0.025,0.0561,10000,-41,159919.SZ
90000419.SZ,4.9,159919.SZ,2020/10/28,Put,3445594,15755860,-12941,-3250833,-679752,14981,0.307,0.025,0.0561,10000,-425,159919.SZ
90000420.SZ,5,159919.SZ,2020/10/28,Put,1126564,5151503,-3129,-766443,-160264,3858,0.315,0.025,0.0561,10000,-130,159919.SZ
90000459.SZ,5.25,159919.SZ,2020/10/28,Call,-486672,-2225434,-11227,-2523976,-527766,12566,0.343,0.025,0.0561,10000,-886,159919.SZ
90000460.SZ,5.25,159919.SZ,2020/10/28,Put,1412396,6458542,-1901,-427310,-89351,2890,0.343,0.025,0.0561,10000,-150,159919.SZ
90000465.SZ,4.2,159919.SZ,2020/11/25,Call,-244320,-1117218,-1656,-187084,-39119,432,0.295,0.025,0.0801,10000,-32,159919.SZ
90000466.SZ,4.3,159919.SZ,2020/11/25,Call,825206,3773464,6951,803746,168064,-1968,0.288,0.025,0.0801,10000,118,159919.SZ
90000467.SZ,4.4,159919.SZ,2020/11/25,Call,919327,4203858,9489,1114923,233131,-2850,0.283,0.025,0.0801,10000,147,159919.SZ
90000468.SZ,4.5,159919.SZ,2020/11/25,Call,588914,2692960,7321,866901,181270,-2307,0.281,0.025,0.0801,10000,108,159919.SZ
90000469.SZ,4.6,159919.SZ,2020/11/25,Call,-1109285,-5072487,-16289,-1928232,-403195,5353,0.281,0.025,0.0801,10000,-239,159919.SZ
90000470.SZ,4.7,159919.SZ,2020/11/25,Call,-1091093,-4989303,-18558,-2182062,-456271,6336,0.283,0.025,0.0801,10000,-282,159919.SZ
90000471.SZ,4.8,159919.SZ,2020/11/25,Call,22215,101583,430,49889,10432,-152,0.287,0.025,0.0801,10000,7,159919.SZ
90000472.SZ,4.9,159919.SZ,2020/11/25,Call,1116886,5107247,24139,2758768,576861,-8858,0.291,0.025,0.0801,10000,434,159919.SZ
90000473.SZ,5,159919.SZ,2020/11/25,Call,-153416,-701535,-3652,-409411,-85608,1388,0.297,0.025,0.0801,10000,-74,159919.SZ
90000474.SZ,4.2,159919.SZ,2020/11/25,Put,202556,926237,-4658,-526174,-110024,2162,0.295,0.025,0.0801,10000,-90,159919.SZ
90000475.SZ,4.3,159919.SZ,2020/11/25,Put,193788,886147,-3947,-456364,-95426,1814,0.288,0.025,0.0801,10000,-67,159919.SZ
90000476.SZ,4.4,159919.SZ,2020/11/25,Put,-522966,-2391395,9295,1092169,228374,-4275,0.283,0.025,0.0801,10000,144,159919.SZ
90000477.SZ,4.5,159919.SZ,2020/11/25,Put,-137414,-628363,2101,248833,52031,-978,0.281,0.025,0.0801,10000,31,159919.SZ
90000478.SZ,4.6,159919.SZ,2020/11/25,Put,-781397,-3573137,10155,1202120,251364,-4841,0.281,0.025,0.0801,10000,149,159919.SZ
90000479.SZ,4.7,159919.SZ,2020/11/25,Put,36099,165072,-395,-46427,-9708,195,0.283,0.025,0.0801,10000,-6,159919.SZ
90000480.SZ,4.8,159919.SZ,2020/11/25,Put,677921,3099969,-6197,-719828,-150517,3194,0.287,0.025,0.0801,10000,-101,159919.SZ
90000481.SZ,4.9,159919.SZ,2020/11/25,Put,826274,3778351,-6285,-718297,-150197,3413,0.291,0.025,0.0801,10000,-113,159919.SZ
90000482.SZ,5,159919.SZ,2020/11/25,Put,554683,2536431,-3504,-392814,-82138,2019,0.297,0.025,0.0801,10000,-71,159919.SZ
90000205.SZ,3.388,159919.SZ,2020/12/23,Call,-3155340,-14428598,-5705,-342737,-71667,-1990,0.354,0.025,0.0842,10330,-323,159919.SZ
90000206.SZ,3.485,159919.SZ,2020/12/23,Call,-2600447,-11891209,-5780,-360351,-75350,-1341,0.341,0.025,0.0842,10330,-269,159919.SZ
90000207.SZ,3.582,159919.SZ,2020/12/23,Call,-362393,-1657135,-990,-64045,-13392,-138,0.328,0.025,0.0842,10330,-38,159919.SZ
90000208.SZ,3.679,159919.SZ,2020/12/23,Call,-918157,-4198506,-3086,-206827,-43248,-203,0.317,0.025,0.0842,10330,-98,159919.SZ
90000209.SZ,3.776,159919.SZ,2020/12/23,Call,-210577,-962916,-869,-60319,-12613,-7,0.306,0.025,0.0842,10330,-23,159919.SZ
90000210.SZ,3.872,159919.SZ,2020/12/23,Call,-1146404,-5242228,-5796,-415229,-86825,215,0.297,0.025,0.0842,10330,-129,159919.SZ
90000211.SZ,3.969,159919.SZ,2020/12/23,Call,-1564292,-7153124,-9675,-713975,-149293,703,0.288,0.025,0.0842,10330,-183,159919.SZ
90000212.SZ,4.066,159919.SZ,2020/12/23,Call,-1235852,-5651248,-9309,-704850,-147385,937,0.281,0.025,0.0842,10330,-152,159919.SZ
90000213.SZ,4.163,159919.SZ,2020/12/23,Call,-961312,-4395847,-8762,-676908,-141542,1077,0.275,0.025,0.0842,10330,-126,159919.SZ
90000214.SZ,3.388,159919.SZ,2020/12/23,Put,32661,149351,-1572,-94438,-19747,554,0.354,0.025,0.0842,10330,-89,159919.SZ
90000215.SZ,3.485,159919.SZ,2020/12/23,Put,278901,1275347,-12784,-797058,-166666,4341,0.341,0.025,0.0842,10330,-595,159919.SZ
90000216.SZ,3.582,159919.SZ,2020/12/23,Put,198925,909637,-8651,-559550,-117002,2839,0.328,0.025,0.0842,10330,-332,159919.SZ
90000217.SZ,3.679,159919.SZ,2020/12/23,Put,292951,1339592,-12028,-806204,-168578,3824,0.317,0.025,0.0842,10330,-382,159919.SZ
90000218.SZ,3.776,159919.SZ,2020/12/23,Put,-340173,-1555527,13114,910037,190290,-4051,0.306,0.025,0.0842,10330,347,159919.SZ
90000219.SZ,3.872,159919.SZ,2020/12/23,Put,-971702,-4443357,34958,2504249,523641,-10537,0.297,0.025,0.0842,10330,778,159919.SZ
90000220.SZ,3.969,159919.SZ,2020/12/23,Put,-1265468,-5786675,42135,3109496,650199,-12445,0.288,0.025,0.0842,10330,797,159919.SZ
90000221.SZ,4.066,159919.SZ,2020/12/23,Put,-1301393,-5950951,39749,3009526,629295,-11574,0.281,0.025,0.0842,10330,649,159919.SZ
90000222.SZ,4.163,159919.SZ,2020/12/23,Put,-859684,-3931125,23853,1842695,385309,-6900,0.275,0.025,0.0842,10330,343,159919.SZ
90000225.SZ,4.26,159919.SZ,2020/12/23,Call,-994561,-4547886,-10855,-852419,-178242,1522,0.271,0.025,0.0842,10330,-141,159919.SZ
90000226.SZ,4.26,159919.SZ,2020/12/23,Put,-496235,-2269161,12394,973330,203524,-3584,0.271,0.025,0.0842,10330,161,159919.SZ
90000249.SZ,4.356,159919.SZ,2020/12/23,Call,-353210,-1615143,-4555,-361804,-75654,701,0.267,0.025,0.0842,10330,-55,159919.SZ
90000250.SZ,4.356,159919.SZ,2020/12/23,Put,635065,2903999,-14161,-1124883,-235214,4124,0.267,0.025,0.0842,10330,-171,159919.SZ
90000253.SZ,4.453,159919.SZ,2020/12/23,Call,-695043,-3178261,-10472,-837742,-175173,1732,0.266,0.025,0.0842,10330,-121,159919.SZ
90000254.SZ,4.453,159919.SZ,2020/12/23,Put,3513340,16065645,-69233,-5538790,-1158166,20461,0.266,0.025,0.0842,10330,-800,159919.SZ
90000277.SZ,4.55,159919.SZ,2020/12/23,Call,-859255,-3929166,-14920,-1195896,-250063,2614,0.265,0.025,0.0842,10330,-170,159919.SZ
90000278.SZ,4.55,159919.SZ,2020/12/23,Put,924812,4228941,-15974,-1280312,-267714,4830,0.265,0.025,0.0842,10330,-182,159919.SZ
90000285.SZ,4.647,159919.SZ,2020/12/23,Call,1740502,7958891,34344,2741393,573228,-6330,0.266,0.025,0.0842,10330,397,159919.SZ
90000286.SZ,4.647,159919.SZ,2020/12/23,Put,580921,2656411,-8737,-697433,-145834,2728,0.266,0.025,0.0842,10330,-101,159919.SZ
90000293.SZ,4.744,159919.SZ,2020/12/23,Call,-135361,-618974,-2993,-236686,-49491,578,0.269,0.025,0.0842,10330,-36,159919.SZ
90000294.SZ,4.744,159919.SZ,2020/12/23,Put,714089,3265356,-9311,-736357,-153973,3025,0.269,0.025,0.0842,10330,-112,159919.SZ
90000319.SZ,4.84,159919.SZ,2020/12/23,Call,955476,4369157,23333,1819587,380477,-4703,0.272,0.025,0.0842,10330,298,159919.SZ
90000320.SZ,5.082,159919.SZ,2020/12/23,Call,2616883,11966367,78129,5809947,1214865,-17402,0.286,0.025,0.0842,10330,1235,159919.SZ
90000321.SZ,5.325,159919.SZ,2020/12/23,Call,1464361,6696166,50586,3546082,741489,-12375,0.303,0.025,0.0842,10330,1032,159919.SZ
90000322.SZ,5.567,159919.SZ,2020/12/23,Call,-671996,-3072875,-25874,-1707929,-357130,6893,0.322,0.025,0.0842,10330,-685,159919.SZ
90000323.SZ,4.84,159919.SZ,2020/12/23,Put,1670018,7636586,-18870,-1471545,-307702,6420,0.272,0.025,0.0842,10330,-241,159919.SZ
90000324.SZ,5.082,159919.SZ,2020/12/23,Put,4625749,21152424,-36503,-2714445,-567593,14250,0.286,0.025,0.0842,10330,-577,159919.SZ
90000325.SZ,5.325,159919.SZ,2020/12/23,Put,1124477,5141959,-6323,-443260,-92686,2882,0.303,0.025,0.0842,10330,-129,159919.SZ
90000326.SZ,5.567,159919.SZ,2020/12/23,Put,1812653,8288821,-7479,-493679,-103229,3992,0.322,0.025,0.0842,10330,-198,159919.SZ
90000333.SZ,5.809,159919.SZ,2020/12/23,Call,-672852,-3076790,-28177,-1755246,-367024,8116,0.341,0.025,0.0842,10330,-959,159919.SZ
90000334.SZ,5.809,159919.SZ,2020/12/23,Put,1962316,8973192,-6111,-380700,-79605,3808,0.341,0.025,0.0842,10330,-208,159919.SZ
90000421.SZ,4.2,159919.SZ,2020/12/23,Call,-639149,-2922671,-6248,-485998,-101623,812,0.273,0.025,0.0842,10000,-89,159919.SZ
90000422.SZ,4.3,159919.SZ,2020/12/23,Call,-526389,-2407048,-6167,-487004,-101833,902,0.269,0.025,0.0842,10000,-80,159919.SZ
90000423.SZ,4.4,159919.SZ,2020/12/23,Call,-1273321,-5822587,-17650,-1407256,-294259,2813,0.266,0.025,0.0842,10000,-215,159919.SZ
90000424.SZ,4.5,159919.SZ,2020/12/23,Call,-424176,-1939654,-6858,-549445,-114889,1168,0.265,0.025,0.0842,10000,-81,159919.SZ
90000425.SZ,4.6,159919.SZ,2020/12/23,Call,-1338991,-6122880,-24878,-1991038,-416328,4478,0.265,0.025,0.0842,10000,-294,159919.SZ
90000426.SZ,4.7,159919.SZ,2020/12/23,Call,-375080,-1715150,-7889,-626935,-131093,1492,0.267,0.025,0.0842,10000,-96,159919.SZ
90000427.SZ,4.8,159919.SZ,2020/12/23,Call,156005,713372,3661,287258,60066,-725,0.271,0.025,0.0842,10000,47,159919.SZ
90000428.SZ,4.9,159919.SZ,2020/12/23,Call,-493262,-2255565,-12741,-983484,-205648,2634,0.275,0.025,0.0842,10000,-176,159919.SZ
90000429.SZ,5,159919.SZ,2020/12/23,Call,2046212,9356828,57487,4352396,910090,-12387,0.281,0.025,0.0842,10000,867,159919.SZ
90000430.SZ,4.2,159919.SZ,2020/12/23,Put,-489289,-2237400,13057,1015682,212380,-3773,0.273,0.025,0.0842,10000,186,159919.SZ
90000431.SZ,4.3,159919.SZ,2020/12/23,Put,-484826,-2216990,11564,913133,190937,-3350,0.269,0.025,0.0842,10000,150,159919.SZ
90000432.SZ,4.4,159919.SZ,2020/12/23,Put,-272273,-1245036,5746,458176,95805,-1683,0.266,0.025,0.0842,10000,70,159919.SZ
90000433.SZ,4.5,159919.SZ,2020/12/23,Put,571911,2615211,-10583,-847909,-177299,3159,0.265,0.025,0.0842,10000,-125,159919.SZ
90000434.SZ,4.6,159919.SZ,2020/12/23,Put,-89380,-408712,1439,115128,24073,-442,0.265,0.025,0.0842,10000,17,159919.SZ
90000435.SZ,4.7,159919.SZ,2020/12/23,Put,-194863,-891062,2712,215509,45063,-864,0.267,0.025,0.0842,10000,33,159919.SZ
90000436.SZ,4.8,159919.SZ,2020/12/23,Put,1525804,6977129,-18303,-1436292,-300330,6104,0.271,0.025,0.0842,10000,-235,159919.SZ
90000437.SZ,4.9,159919.SZ,2020/12/23,Put,841129,3846279,-8687,-670558,-140214,3050,0.275,0.025,0.0842,10000,-120,159919.SZ
90000438.SZ,5,159919.SZ,2020/12/23,Put,305529,1397110,-2719,-205823,-43038,1010,0.281,0.025,0.0842,10000,-41,159919.SZ
90000461.SZ,5.25,159919.SZ,2020/12/23,Call,1311488,5997114,43513,3107647,649812,-10350,0.297,0.025,0.0842,10000,846,159919.SZ
90000462.SZ,5.25,159919.SZ,2020/12/23,Put,1487126,6800265,-9258,-661201,-138258,4020,0.297,0.025,0.0842,10000,-180,159919.SZ
90000335.SZ,4.26,159919.SZ,2021/3/24,Call,-103680,-474103,-1868,-72660,-15193,126,0.261,0.025,0.066,10330,-16,159919.SZ
90000336.SZ,4.356,159919.SZ,2021/3/24,Call,-570874,-2610470,-11535,-451357,-94379,827,0.26,0.025,0.066,10330,-95,159919.SZ
90000337.SZ,4.453,159919.SZ,2021/3/24,Call,-226476,-1035620,-5097,-200082,-41837,386,0.259,0.025,0.066,10330,-41,159919.SZ
90000338.SZ,4.55,159919.SZ,2021/3/24,Call,-287298,-1313746,-7146,-280497,-58652,567,0.259,0.025,0.066,10330,-57,159919.SZ
90000339.SZ,4.647,159919.SZ,2021/3/24,Call,584911,2674654,15952,624439,130571,-1318,0.26,0.025,0.066,10330,128,159919.SZ
90000340.SZ,4.744,159919.SZ,2021/3/24,Call,-379091,-1733492,-11249,-438174,-91623,964,0.261,0.025,0.066,10330,-92,159919.SZ
90000341.SZ,4.84,159919.SZ,2021/3/24,Call,174118,796198,5577,215652,45093,-494,0.263,0.025,0.066,10330,47,159919.SZ
90000342.SZ,5.082,159919.SZ,2021/3/24,Call,414641,1896054,15653,590468,123467,-1496,0.269,0.025,0.066,10330,148,159919.SZ
90000343.SZ,5.325,159919.SZ,2021/3/24,Call,467710,2138725,20135,736339,153969,-2055,0.278,0.025,0.066,10330,222,159919.SZ
90000344.SZ,4.26,159919.SZ,2021/3/24,Put,-667911,-3054194,22069,858299,179471,-2974,0.261,0.025,0.066,10330,189,159919.SZ
90000345.SZ,4.356,159919.SZ,2021/3/24,Put,200236,915628,-6071,-237557,-49673,825,0.26,0.025,0.066,10330,-50,159919.SZ
90000346.SZ,4.453,159919.SZ,2021/3/24,Put,170624,780223,-4724,-185442,-38776,650,0.259,0.025,0.066,10330,-38,159919.SZ
90000347.SZ,4.55,159919.SZ,2021/3/24,Put,-696303,-3184023,17552,688939,144058,-2455,0.259,0.025,0.066,10330,140,159919.SZ
90000348.SZ,4.647,159919.SZ,2021/3/24,Put,125219,572596,-2866,-112204,-23462,409,0.26,0.025,0.066,10330,-23,159919.SZ
90000349.SZ,4.744,159919.SZ,2021/3/24,Put,424322,1940320,-8804,-342919,-71705,1287,0.261,0.025,0.066,10330,-72,159919.SZ
90000350.SZ,4.84,159919.SZ,2021/3/24,Put,662475,3029335,-12459,-481775,-100740,1870,0.263,0.025,0.066,10330,-105,159919.SZ
90000351.SZ,5.082,159919.SZ,2021/3/24,Put,1247725,5705544,-18297,-690209,-144323,2966,0.269,0.025,0.066,10330,-173,159919.SZ
90000352.SZ,5.325,159919.SZ,2021/3/24,Put,134421,614674,-1542,-56386,-11790,273,0.278,0.025,0.066,10330,-17,159919.SZ
90000353.SZ,4.066,159919.SZ,2021/3/24,Call,-368030,-1682913,-5148,-196023,-40989,286,0.267,0.025,0.066,10330,-50,159919.SZ
90000354.SZ,4.163,159919.SZ,2021/3/24,Call,-201121,-919677,-3204,-123489,-25822,198,0.264,0.025,0.066,10330,-29,159919.SZ
90000355.SZ,4.066,159919.SZ,2021/3/24,Put,254718,1164761,-9884,-376365,-78698,1327,0.267,0.025,0.066,10330,-96,159919.SZ
90000356.SZ,4.163,159919.SZ,2021/3/24,Put,-52338,-239329,1878,72390,15137,-252,0.264,0.025,0.066,10330,17,159919.SZ
90000357.SZ,5.567,159919.SZ,2021/3/24,Call,4789,21901,229,8092,1692,-25,0.288,0.025,0.066,10330,3,159919.SZ
90000358.SZ,5.567,159919.SZ,2021/3/24,Put,286193,1308692,-2595,-91707,-19176,503,0.288,0.025,0.066,10330,-34,159919.SZ
90000359.SZ,5.809,159919.SZ,2021/3/24,Call,-143223,-654924,-7459,-254462,-53208,854,0.298,0.025,0.066,10330,-117,159919.SZ
90000360.SZ,5.809,159919.SZ,2021/3/24,Put,457069,2090065,-3315,-113094,-23648,706,0.298,0.025,0.066,10330,-52,159919.SZ
90000439.SZ,4.2,159919.SZ,2021/3/24,Call,0,0,0,0,0,0,0.263,0.025,0.066,10000,0,159919.SZ
90000440.SZ,4.3,159919.SZ,2021/3/24,Call,304249,1391257,5755,224524,46948,-398,0.26,0.025,0.066,10000,50,159919.SZ
90000441.SZ,4.4,159919.SZ,2021/3/24,Call,-246602,-1127652,-5238,-205351,-42939,385,0.259,0.025,0.066,10000,-44,159919.SZ
90000442.SZ,4.5,159919.SZ,2021/3/24,Call,56316,257519,1332,52294,10935,-103,0.259,0.025,0.066,10000,11,159919.SZ
90000443.SZ,4.6,159919.SZ,2021/3/24,Call,-181052,-827906,-4727,-185318,-38750,383,0.259,0.025,0.066,10000,-39,159919.SZ
90000444.SZ,4.7,159919.SZ,2021/3/24,Call,-276102,-1262545,-7892,-308113,-64427,666,0.26,0.025,0.066,10000,-66,159919.SZ
90000445.SZ,4.8,159919.SZ,2021/3/24,Call,-108754,-497305,-3377,-131044,-27401,295,0.262,0.025,0.066,10000,-29,159919.SZ
90000446.SZ,4.9,159919.SZ,2021/3/24,Call,170853,781269,5720,220033,46009,-517,0.264,0.025,0.066,10000,51,159919.SZ
90000447.SZ,5,159919.SZ,2021/3/24,Call,-244752,-1119193,-8776,-334141,-69869,819,0.267,0.025,0.066,10000,-82,159919.SZ
90000448.SZ,4.2,159919.SZ,2021/3/24,Put,-201290,-920450,7004,271053,56677,-941,0.263,0.025,0.066,10000,64,159919.SZ
90000449.SZ,4.3,159919.SZ,2021/3/24,Put,-209324,-957186,6676,260448,54460,-902,0.26,0.025,0.066,10000,58,159919.SZ
90000450.SZ,4.4,159919.SZ,2021/3/24,Put,-760632,-3478184,22141,868074,181515,-3023,0.259,0.025,0.066,10000,186,159919.SZ
90000451.SZ,4.5,159919.SZ,2021/3/24,Put,82339,376515,-2179,-85572,-17893,302,0.259,0.025,0.066,10000,-18,159919.SZ
90000452.SZ,4.6,159919.SZ,2021/3/24,Put,287945,1316700,-6908,-270850,-56635,976,0.259,0.025,0.066,10000,-57,159919.SZ
90000453.SZ,4.7,159919.SZ,2021/3/24,Put,170830,781166,-3707,-144720,-30261,536,0.26,0.025,0.066,10000,-31,159919.SZ
90000454.SZ,4.8,159919.SZ,2021/3/24,Put,5944,27180,-116,-4519,-945,17,0.262,0.025,0.066,10000,-1,159919.SZ
90000455.SZ,4.9,159919.SZ,2021/3/24,Put,50752,232075,-897,-34515,-7217,137,0.264,0.025,0.066,10000,-8,159919.SZ
90000456.SZ,5,159919.SZ,2021/3/24,Put,73802,337476,-1177,-44824,-9373,186,0.267,0.025,0.066,10000,-11,159919.SZ
90000463.SZ,5.25,159919.SZ,2021/3/24,Call,340618,1557562,14125,521820,109113,-1414,0.275,0.025,0.066,10000,153,159919.SZ
90000464.SZ,5.25,159919.SZ,2021/3/24,Put,0,0,0,0,0,0,0.275,0.025,0.066,10000,0,159919.SZ
